Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Jonathan Taylor;6813;2022;1;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;2;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;3;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;4;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;5;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;6;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;7;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;8;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;9;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;10;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;11;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;12;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;13;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;14;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;15;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2022;16;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;0;Arneee;16240000,00 ;16240000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;1;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;2;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;3;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;4;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;5;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;6;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;7;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;8;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;9;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;10;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;11;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;12;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;13;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;14;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;15;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2023;16;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;0;Arneee;16240000,00 ;16240000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;1;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;2;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;3;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;4;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;5;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;6;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
